SKU	Section	2018-12 Units	2018-12 Gross Sales	2019-1 Units	2019-1 Gross Sales	2019-2 Units	2019-2 Gross Sales	2019-3 Units	2019-3 Gross Sales	2019-4 Units	2019-4 Gross Sales	2019-5 Units	2019-5 Gross Sales
1009966	International	834	1626.3	876	1708.2	867	1690.65	910	1774.5	910	1774.5	910	1774.5
1023132	Produce	194	3296.06	198	3364.02	194	3296.06	202	3431.98	206	3499.94	220	3737.8
1028684	Freezer	465	8718.75	479	8981.25	503	9431.25	518	9712.5	544	10200	528	9900
1041002	Produce	523	8362.77	539	8618.61	528	8442.72	549	8778.51	554	8858.46	526	8410.74
1049745	International	522	7803.9	517	7729.15	501	7489.95	526	7863.7	510	7624.5	495	7400.25
1055295	Freezer	732	9479.4	754	9764.3	777	10062.15	777	10062.15	754	9764.3	784	10152.8
1077514	Freezer	142	282.58	139	276.61	142	282.58	142	282.58	138	274.62	146	290.54
1077848	Sodas and Drinks	443	5736.85	434	5620.3	434	5620.3	438	5672.1	425	5503.75	404	5231.8
1091200	Refrigerated	506	1518	501	1503	496	1488	521	1563	511	1533	537	1611
1095347	Canned Goods	334	2338	327	2289	324	2268	334	2338	337	2359	337	2359
1106193	Canned Goods	379	947.5	375	937.5	364	910	353	882.5	364	910	386	965
1114726	Refrigerated	167	3338.33	170	3398.3	167	3338.33	172	3438.28	181	3618.19	179	3578.21
1131448	Sodas and Drinks	640	8800	653	8978.75	686	9432.5	700	9625	707	9721.25	742	10202.5
1135408	Refrigerated	821	5705.95	796	5532.2	812	5643.4	836	5810.2	811	5636.45	770	5351.5
1140978	Produce	87	691.65	88	699.6	90	715.5	94	747.3	96	763.2	93	739.35
1144870	Sodas and Drinks	259	515.41	256	509.44	266	529.34	269	535.31	282	561.18	279	555.21
1144871	Baby	649	6327.75	630	6142.5	636	6201	642	6259.5	668	6513	701	6834.75
1145972	Produce	320	2224	330	2293.5	320	2224	310	2154.5	310	2154.5	341	2369.95
1148283	Freezer	799	6791.5	823	6995.5	839	7131.5	839	7131.5	831	7063.5	789	6706.5
1150334	Dairy	379	5681.21	371	5561.29	386	5786.14	390	5846.1	386	5786.14	405	6070.95
1153124	Produce	117	2164.5	117	2164.5	123	2275.5	128	2368	132	2442	133	2525.67
1161355	Sodas and Drinks	729	7282.71	722	7212.78	729	7282.71	722	7212.78	758	7572.42	811	8101.89
1163665	Snacks	385	8065.75	389	8149.55	385	8065.75	373	7814.35	380	7961	361	7562.95
1171011	Baby	885	15036.15	876	14883.24	858	14577.42	849	14424.51	849	14424.51	857	14560.43
1174535	Freezer	342	4770.9	356	4966.2	349	4868.55	339	4729.05	336	4687.2	326	4547.7
1176571	Sodas and Drinks	58	405.42	59	412.41	61	426.39	62	433.38	62	433.38	61	426.39
1196912	Snacks	244	1220	256	1280	259	1295	259	1295	269	1345	274	1370
1198427	Canned Goods	59	117.41	60	119.4	61	121.39	59	117.41	57	113.43	56	111.44
1219313	Canned Goods	410	7375.9	422	7591.78	414	7447.86	402	7231.98	410	7375.9	390	7016.1
1220432	Refrigerated	525	5775	525	5775	536	5896	541	5951	530	5830	583	6413
1249626	International	119	2021.81	118	2004.82	119	2021.81	118	2004.82	117	1987.83	123	2089.77
1252891	International	1001	2992.99	1051	3142.49	1062	3175.38	1041	3112.59	1010	3019.9	1000	2990
1259488	Refrigerated	30	478.5	30	478.5	30	478.5	29	462.55	28	446.6	28	446.6
1259760	Produce	561	10378.5	544	10064	566	10471	555	10267.5	572	10582	549	10156.5
